days_alive,work_days,spec_days,rest_days,final_cash,final_happiness
190,2,0,188,-5018.458072908075,100.0
189,1,0,188,-5038.374700035605,100.0
194,0,1,193,-5036.207640294785,100.0
188,0,0,188,-5056.962565945582,100.0
180,1,1,178,-5019.729109581219,100.0
188,0,0,188,-5056.962565945582,100.0
179,0,1,178,-5044.156599147056,100.0
185,0,2,183,-5011.711956080334,100.0
195,1,1,193,-5015.850716045049,100.0
189,1,0,188,-5036.486366413691,100.0
194,0,1,193,-5030.597178339241,100.0
200,0,2,198,-5015.507833047555,100.0
198,0,4,194,-5060.0495104157335,100.0
170,0,2,168,-5024.816900896119,100.0
159,0,5,154,-5057.023084247089,100.0
188,0,0,188,-5056.962565945582,100.0
200,0,2,198,-5004.901326996122,100.0
200,0,2,198,-5033.344053768242,100.0
185,0,2,183,-5012.912588573307,100.0
150,0,6,144,-5027.027018367326,100.0
183,0,4,179,-5055.7432288402315,100.0
195,1,1,193,-5019.095935480246,100.0
202,1,2,199,-5075.349571790652,100.0
168,0,4,164,-5061.861834838681,100.0
176,0,5,171,-5177.343654515138,95.0
170,0,2,168,-5029.617703281027,100.0
187,1,2,184,-5075.736619635797,100.0
190,1,5,184,-5031.05881135721,100.0
205,3,7,195,-5014.007605962958,100.0
167,1,6,160,-5066.848159765199,100.0
165,0,6,159,-5030.20979694774,100.0
217,2,9,206,-5074.761869691407,100.0
169,1,4,164,-5037.770801184628,100.0
190,1,5,184,-5006.418425702263,100.0
180,0,6,174,-5033.242908953647,100.0
179,1,8,170,-5029.186622545386,100.0
179,0,5,174,-5437.676212447979,95.0
187,1,2,184,-5080.204642894043,100.0
160,1,5,154,-5030.89921339255,100.0
183,0,4,179,-5053.127152914216,100.0
202,1,2,199,-5076.054834963769,100.0
187,1,2,184,-5075.542470255732,100.0
215,7,3,205,-5023.907284518593,100.0
170,0,2,168,-5024.461788702754,100.0
185,0,2,183,-5012.788106440726,100.0
185,0,2,183,-5011.767380071247,100.0
176,2,5,169,-5011.393977847455,100.0
165,0,6,159,-5020.37362880965,100.0
177,4,4,169,-5365.841406529015,95.0
197,2,1,194,-5068.463737546223,100.0
187,3,4,180,-5064.536515685101,100.0
202,1,2,199,-5070.119628802984,100.0
189,1,0,188,-5038.374700035605,100.0
194,0,1,193,-5046.705486104149,100.0
209,2,3,204,-5023.457273290197,100.0
217,3,4,210,-5067.822726634089,100.0
180,3,3,174,-5013.479881518102,100.0
194,4,5,185,-5058.118572081896,100.0
192,0,3,189,-5076.53365857961,100.0
171,2,3,166,-5604.354931626962,95.0
173,2,2,169,-5047.19075373187,100.0
180,1,1,178,-5019.874792010839,100.0
170,0,2,168,-5027.073169720359,100.0
179,2,3,174,-5042.088124303576,100.0
197,2,1,194,-5077.105574414751,100.0
163,1,3,159,-5070.544703780575,100.0
190,2,0,188,-5014.544731522257,100.0
179,0,1,178,-5036.502312251465,100.0
188,0,0,188,-5056.962565945582,100.0
186,1,2,183,-5001.184185733239,100.0
179,0,1,178,-5042.407089218084,100.0
203,2,2,199,-5055.249790795871,100.0
184,4,1,179,-5033.372315292838,100.0
197,2,1,194,-5078.372773175479,100.0
177,0,3,174,-5081.0878780576,100.0
195,1,1,193,-5016.651282431848,100.0
173,2,2,169,-5040.000741178045,100.0
203,2,2,199,-5050.745648498426,100.0
195,1,1,193,-5011.789151645033,100.0
186,1,2,183,-5009.53236067877,100.0
197,2,1,194,-5070.404493330972,100.0
188,2,2,184,-5044.892682679928,100.0
177,0,3,174,-5064.677894455123,100.0
188,2,2,184,-5060.975297619917,100.0
179,0,1,178,-5044.0106462358035,100.0
177,0,3,174,-5068.930891550376,100.0
188,0,0,188,-5056.962565945582,100.0
203,2,2,199,-5048.748535065861,100.0
180,1,1,178,-5021.559179732668,100.0
179,0,1,178,-5041.097709358265,100.0
192,0,3,189,-5076.141024150329,100.0
193,4,0,189,-5059.967095744314,100.0
182,2,1,179,-5074.500070912855,100.0
180,1,1,178,-5016.268911274966,100.0
198,3,1,194,-5057.930417027029,100.0
188,2,2,184,-5076.602999461664,100.0
192,3,0,189,-5078.927184973536,100.0
180,2,2,176,-5614.462190458407,95.0
180,1,1,178,-5023.593442699248,100.0
188,2,2,184,-5037.491153214001,100.0
190,2,0,188,-5014.689794270311,100.0
188,0,0,188,-5056.962565945582,100.0
180,1,1,178,-5022.986997820378,100.0
189,1,0,188,-5039.2807971035245,100.0
188,0,0,188,-5056.962565945582,100.0
179,0,1,178,-5033.058045791575,100.0
185,0,2,183,-5016.335054070496,100.0
199,1,4,194,-5024.4348899731285,100.0
188,0,0,188,-5056.962565945582,100.0
189,1,0,188,-5035.953523247641,100.0
179,0,1,178,-5029.12439077055,100.0
189,1,0,188,-5035.76701060783,100.0
192,3,0,189,-5082.23191292014,100.0
189,1,0,188,-5038.07085140474,100.0
179,0,1,178,-5043.135541474348,100.0
188,0,0,188,-5056.962565945582,100.0
188,0,0,188,-5056.962565945582,100.0
189,1,0,188,-5036.067338041656,100.0
185,0,2,183,-5021.521487628172,100.0
188,0,0,188,-5056.962565945582,100.0
192,3,0,189,-5076.894536873939,100.0
195,1,1,193,-5017.395622148281,100.0
182,2,1,179,-5066.283646663922,100.0
193,4,0,189,-5058.486185331581,100.0
190,2,0,188,-5014.834022232258,100.0
189,1,0,188,-5035.059369868672,100.0
194,0,1,193,-5033.094981230459,100.0
189,1,0,188,-5037.867778772061,100.0
188,0,0,188,-5056.962565945582,100.0
189,1,0,188,-5035.320091392828,100.0
190,2,0,188,-5015.063395044862,100.0
192,3,0,189,-5081.161675881879,100.0
188,0,0,188,-5056.962565945582,100.0
189,1,0,188,-5035.777381230602,100.0
190,2,0,188,-5016.372691647759,100.0
188,0,0,188,-5056.962565945582,100.0
189,1,0,188,-5036.315227111725,100.0
180,1,1,178,-5020.883490143455,100.0
